Averages

"Player","G","MPG","PPG","FGMPG","FGAPG","FG%","2PMPG","2PAPG","2P%","3PMPG","3PAPG","3P%","TSAPG","TS%","FTAPG","FTMPG","ORPG","DRPG","RPG","APG","STPG","TOPG","A/TO","BLKPG","PFPG","FOPG","EFF","eFG%","Off Rat"
"Sruthi Arvind","7","18.4","10.4","4.7","10.1","46.5","4.1","7.3","56.9","0.6","2.9","20","10.4","49.9","0.7","0.4","0.4","2","2.4","3.1","2.6","2.1","146.7","0.1","1","0.3","76","49.3","265"
"Vandana Arya","5","15.1","2.8","1.2","4.4","27.3","1","3","33.3","0.2","1.4","14.3","4.6","30.6","0.4","0.2","0","0.8","0.8","1","0.2","0.4","250","0.2","0.2","0.2","6","29.5","56.7"
"Shivani Bagadi","1","2.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"Tawleen Bhandal","1","39.5","12","6","14","42.9","6","12","50","0","2","0","15","40.3","2","0","3","7","10","6","0","3","200","1","1","2","16","42.9","30.9"
"Aakanksha Bhoi","1","2.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","2","0","0"
"Shomira Bidaye","4","16.5","8","3.5","7.3","48.3","3.5","6.5","53.8","0","0.8","0","8","50.6","1.5","1","0.8","1.5","2.3","0.8","2.3","2","37.5","0.5","2.3","1.5","30","48.3","92.6"
"Paulami Chatterjee","4","17.7","5.5","2.3","6","37.5","2.3","6","37.5","0","0","0","6.8","41.3","1.5","1","0.8","2.3","3","1","0","2.3","44.4","0","1","1","12","37.5","99.2"
"Poonam Chaturvedi","7","16.3","15.1","6.9","9.4","72.7","6.9","9.4","72.7","0","0","0","10.6","71.3","2.7","1.4","1.1","4.3","5.4","0.1","0","1.9","7.7","1.9","0.3","1.9","118","72.7","-1,223.1"
"Anushka Chauhan","7","10","2.1","0.9","3.4","25","0.9","3.3","26.1","0","0.1","0","3.7","29.1","0.6","0.4","0.6","1.4","2","0","0.1","0.4","0","0.4","0.6","0.6","11","25","29.2"
"Ishika Choudhary","7","34.5","10.6","3.7","11.1","33.3","3.3","7.4","44.2","0.4","3.7","11.5","12.6","42","3.3","2.7","1.3","1.3","2.6","3.7","2.1","3","123.8","0.1","3.1","2.9","57","35.3","1,640.8"
