averages

"Player","G","MPG","PPG","FGMPG","FGAPG","FG%","2PMPG","2PAPG","2P%","3PMPG","3PAPG","3P%","TSAPG","TS%","FTAPG","FTMPG","ORPG","DRPG","RPG","APG","STPG","TOPG","A/TO","BLKPG","PFPG","FOPG","EFF","eFG%","Off Rat"
"Daniel Richards A","5","13.9","4.4","1.8","5.6","32.1","1","2.4","41.7","0.8","3.2","25","5.6","39.3","0","0","0.4","1.2","1.6","3.8","0.8","1.2","316.7","0.2","0.4","0.2","29","39.3","0"
"Sanketh S.","2","17.8","6","2","6","33.3","2","5.5","36.4","0","0.5","0","7","43.6","2","2","2","1.5","3.5","2","0","2.5","80","0","1","1","10","33.3","-22.1"
"Vaibhav Saini","2","10.3","2.5","1","3.5","28.6","0.5","2","25","0.5","1.5","33.3","4","31.7","1","0","0.5","1","1.5","0.5","0.5","2.5","20","0","0","1","-2","35.7","0"
"Kanwar Gurbaz Singh Sandhu","7","37.1","22","8","15.9","50.5","4.3","8.3","51.7","3.7","7.6","49.1","17","64.7","2.6","2.3","0.7","3.9","4.6","5.7","1","1.6","363.6","0.3","2.3","2.3","167","62.2","0"
"Manjot Singh Sandhu","6","7.3","5.5","2.7","4.5","59.3","2.7","4","66.7","0","0.5","0","4.8","57.4","0.7","0.2","0.8","1","1.8","0","0.3","1","0","0.3","0.2","0.3","28","59.3","150.4"
"Rythem Preet Singh Sandhu","2","5.7","3.5","1.5","1.5","100","1.5","1.5","100","0","0","0","1.5","101.7","0.5","0.5","0","1.5","1.5","0.5","0","0.5","100","0.5","0.5","0.5","11","100","154.1"
"TS Santosh","5","16.5","6.4","2.8","7.2","38.9","2.6","6.4","40.6","0.2","0.8","25","7.6","41.9","1","0.6","1.2","2.8","4","2.6","0.6","1.2","216.7","0.4","1","0.8","40","40.3","38.7"
"Shanazil Mohd. Seeni","6","33.1","15.5","5.3","12.3","43.2","1.8","2.5","73.3","3.5","9.8","35.6","13.2","58.7","2","1.3","0.7","3.3","4","3","2.8","4.5","66.7","0.5","3.2","2.7","82","57.4","624.3"
"Anmol Sharma","8","15.5","3.9","1.9","4.4","42.9","1.8","3.4","51.9","0.1","1","12.5","4.5","43.2","0.3","0","0.6","1.4","2","1.6","1.1","1.3","130","0.1","0.4","0.3","38","44.3","-399.5"
"Himanshu Sharma","7","31.5","4.3","1.7","6.3","27.3","1.1","3.3","34.8","0.6","3","19","6.6","32.8","0.6","0.3","1.1","4.6","5.7","7.6","1.7","4.3","176.7","0","2.4","1.7","71","31.8","96"
"Rakesh Kumar Sharma","8","12.5","7.6","3.1","5.9","53.2","3.1","5.9","53.2","0","0","0","6.9","55.1","2.4","1.4","1","3.4","4.4","1","0.1","0.3","400","0.3","0.3","1.9","75","53.2","-8,860.3"
"Sowkin Shetty","3","4.9","1.3","0.3","1.3","25","0.3","1.3","25","0","0","0","1.7","41","0.7","0.7","1","0.3","1.3","0.3","0.3","0","0","0","0","0.3","7","25","1.6"
"Amritpal Singh","7","33.4","16.6","6.7","13.3","50.5","6.7","12.6","53.4","0","0.7","0","15.3","54.2","4.6","3.1","3","8.1","11.1","3","0.3","3.3","91.3","2.1","2.4","3.4","153","50.5","366.5"
"Arjun Singh","6","32.5","10.3","3.3","8.3","40","1.8","3.2","57.9","1.5","5.2","29","9.5","54.3","2.7","2.2","0.5","3","3.5","3.2","2.2","1.7","190","0.2","2.8","2.2","73","49","10,107.7"
"Arvinder Singh","7","22.7","5.1","2","5.1","38.9","2","4.7","42.4","0","0.4","0","6","43.1","1.9","1.1","3.3","3.9","7.1","2","1","2.1","93.3","0.6","2.4","1.7","69","38.9","-20.6"
